0,0,0.51982497967992436
0,1,-0.03199622071614025
0,2,0.03103578477631478
0,3,-0.032192884722810275
0,5,-0.033003285755788689
0,6,-0.033165000035394611
0,7,-0.032249704521508021
0,8,-0.034202454839373585,-0.0
0,9,0.026924311186056919,0.012415212021690061
0,10,0.031081158752428034,-0.0046131903657535807
0,11,-0.003429288889556961,-0.034098319822712261
0,12,-0.024881032633623377,0.0238155553260463
0,14,0.032682814424746964,-0.0
0,16,0.033861051633512718,-0.0
0,18,0.0,-0.034364030802541218
0,19,0.031204196901055154,0.0
0,20,-0.0,-0.031366821284305429
0,21,0.01737740443446224,-0.024908775739275749
0,22,-0.022425767182907601,-0.022271117178562509
0,23,0.019993012021264547,-0.021404769183171742
0,24,0.002815420653988094,0.0082802016932456441,0.031024000482705621
0,25,0.023310733559659437,0.01308455524152668,-0.021199471516391694
0,26,-0.021557566196202926,-0.014035875513236375,0.018878144583272468
0,27,-0.0,-0.032534662740077505,-0.0059597487921602644
0,28,-0.0024010607344877683,-0.007992561361603227,0.032057931894179471
0,29,0.0,0.033572984780522085,0.0
0,30,-0.0031102405778651214,0.0064591473286380457,0.030747050284899418
0,31,-0.0075340107385161587,0.0,-0.029436699406816272
1,1,-0.81316166180109639
1,2,-0.032158087306114858
1,3,-0.029739079763842019
1,4,0.032789566956636075
1,5,0.032878992472167252
1,7,0.034266788289076935
1,8,-0.0057631756682307534,-0.030812561115878073
1,9,0.0,-0.031075528023504818
1,10,0.024423282738611374,0.019188822641289047
1,11,0.029539632529111622,0.012798539227606149
1,12,-0.029549266068575965,0.015899957735251571
1,13,-0.031005791944333137,-0.011644223264116186
1,14,-0.010243861616853072,-0.031874768933594921
1,15,-0.027183120268568711,-0.018494850941190799
1,17,0.0,0.032244795979334155
1,18,0.032056985687931666,0.002979377285999747
1,19,-0.021971124790945287,0.022293789594814806
1,20,0.0,-0.032830381283862606
1,21,-0.0079784533789998037,-0.027930500285033154
1,22,-0.021571738909147438,0.023392914084829901
1,23,-0.021191239967419728,0.020646992568005472
1,24,0.0,-0.0068591960840648615,0.031938520237792055
1,26,-0.031414597767839961,-0.0,-0.0
1,27,-0.0058795397531915487,0.021447115331677157,0.0254656214663843
1,28,0.019637922387783616,-0.0028076890245394919,-0.026015678554246753
1,29,0.022646452368434624,0.02183680304979236,0.012780080148232231
1,31,-0.013251582231618047,-0.016095035305967346,0.021970490683168357
2,2,0.23216163480662133
2,3,-0.029441802630452499
2,4,-0.03021818777175711
2,6,-0.02950441417258055
2,7,0.031733434896626535
2,8,0.031453937665712854,-0.0
2,9,0.018464686545260286,-0.02193503056686525
2,10,-0.029620012489817889,-0.0
2,11,-0.022946652331862251,-0.018592219920141106
2,12,0.018806868380738754,0.025675725092476974
2,13,0.025729256948712562,-0.016890149405781041
2,15,-0.0,-0.030560319198246831
2,16,0.027927331104049935,-0.010526615916433625
2,17,0.022294559905720983,-0.02113046178471625
2,18,0.028380722124521578,0.011495349892355044
2,19,-0.027987860268252125,0.010865234205750364
2,20,0.0,-0.03156311360554645
2,21,-0.013060153715077951,0.026169849286809019
2,22,-0.019116927529260763,0.023252832274282455
2,23,-0.022667240683459461,0.019440699213490571
2,24,-0.029484142104959553,-0.0008234489870865199,0.0
2,25,0.02490731739992617,0.0052451479608207393,-0.014484877266531729
2,26,-0.0,-0.0,0.029806033622585663
2,27,0.012699794344976251,-0.019364750332441883,0.021190701528791132
2,28,0.014906367777029294,-0.024692087884995679,-0.0067835032647271991
2,29,0.021266813292586766,0.021289671144280074,-0.0018225498743110594
