0,0,0.38325879468433266
0,1,0.031417726707322256
0,2,-0.031777847845008859
0,3,0.030789986653482065
0,4,-0.030975959147485011
0,5,-0.031361452599610526
0,6,0.032002860324483171
0,8,0.0,-0.032744367805428026
0,9,0.013891711690951766,0.027954368354761474
0,10,0.020720326601315082,-0.022767190273170736
0,11,-0.030066161882991022,-0.00033182860396129259
0,12,-0.025824525832353225,0.018412490728720313
0,13,-0.027176000404496092,-0.016466993051620152
0,14,0.0028445921795460551,0.032184663450057271
0,15,0.031480463439162013,0.00034490586078080894
0,16,-0.025231708250417803,-0.016817182835276511
0,17,-0.028560877933245531,0.016497427407679843
0,18,-0.0245405570046595,-0.021846460287049372
0,20,0.029674134275643312,0.010817004863125418
0,21,-0.031018810691877192,0.0017199950677354409
0,22,-0.0,0.032789014519699414
0,23,-0.0089867493548705431,0.030767086174298432
0,24,-0.0099222728894717924,-0.0040567945818317597,-0.030806735164133736
0,25,0.015767766938215366,-0.027381923987988659,-0.0039809968674781766
0,26,0.025644250444768285,-0.013322542885667336,0.0096743103485583074
0,28,-0.026057701269068805,0.015339163761766814,-0.0089683675818173769
0,29,0.0,0.016618733095318843,0.026896779357681425
0,30,-0.029375623208065037,0.0097785492860942604,0.0
0,31,-0.0013058522271825318,0.010837014745934716,0.030313279395671577
1,1,0.29007619681432284
1,3,-0.032457984536666887
1,5,0.034646194720542318
1,6,-0.034663139482246648
1,7,0.031932176336839202
1,8,0.025313120934762203,-0.022068838077006901
1,10,-0.0,0.035167221463656854
1,11,-0.033783517323873045,-0.0027767773820345423
1,12,0.031303055814282256,0.0016408340165129684
1,13,-0.015492279708954521,-0.027845274867711524
1,14,-0.016531032756209832,-0.029678471780831408
1,15,0.030552033830028309,-0.010712118168545233
1,16,-0.0036142227585996113,-0.032726457960061676
1,17,-0.018824905759632356,0.023794219680094434
1,18,0.028623621078548957,-0.017055675611802656
1,19,-0.015784999615294872,0.031483724305023206
1,20,0.018630625722806649,-0.027444424585630404
1,21,-0.025133929163525134,0.024514081524920135
1,22,-0.024997441801730191,0.020247010194544147
1,23,0.021786299622485954,0.025127964175699284
1,25,0.0012501135501618314,-0.018120419052577903,-0.027606284224415377
1,26,0.0057082894377069541,-0.0095248252473156148,-0.033122092316956168
1,27,-0.0061251245823434218,0.033368079270920857,-0.0019772525910396982
1,28,0.010519073865173593,0.030265543798563131,-0.013669494254911299
1,29,0.020756430548566202,0.0024208180480558335,-0.026333484042860237
1,30,0.0079461262721327065,0.029252918177298137,0.0058063138533324191
1,31,-0.0068749840422813856,-0.016848986218375724,0.024381513749058347
2,2,-0.63804366199958507
2,4,0.032418266981279413
2,5,0.034133974579018268
2,7,-0.031740288476448913
2,9,0.029794057820675002,0.0
2,10,0.031769568126381743,-0.011636563136584935
2,11,-0.030125758923022383,0.015048918807596874
2,12,-0.034079765648686547,-0.00030965322058595885
2,13,-0.0077332997785461797,0.031650045233784521
2,14,-0.017798984609666106,0.025442460734247281
2,15,-0.0168619119000686,0.027109685766465864
2,16,-0.0087590303131568729,0.029715058146713345
2,17,0.031361071259027873,-0.0
2,18,0.026319361920609151,0.024152166280204994
2,19,0.032976228811453137,-0.0
2,20,-0.022912318740386024,0.021921792877412253
2,21,-0.0024420750138971583,-0.033415706464409098
2,22,0.024017570632281153,0.024075532060175094
2,23,-0.016966521863626158,-0.024760494058913673
2,24,-0.029528816906015252,0.0,0.015158594807055399
2,25,0.012076337005586512,-0.027559966070333734,0.0065223857720244334
2,26,0.0,-0.019324121695086984,-0.026051934826199823
2,27,0.0,-0.027137762707448488,0.017839802932011466
2,28,0.02418155118484765,0.02650322154484919,-0.0
2,29,0.01963354261214242,0.028190459039242718,0.0
2,30,0.0056803377951337043,0.030319191363429889,0.0040889775315349711
3,3,-0.62430286154696613
3,4,-0.031579888161850027
3,6,0.032334729015045326
3,7,-0.032903477987924284
3,8,0.024142915574778656,0.023913550733913304
3,9,-0.027029123776249504,-0.011080010703762033
3,11,-0.029702257489500616,-0.01747383571485529
3,12,-0.022654052171628389,-0.023793067376298115
3,13,-0.025287687274592754,-0.019920493681423616
3,14,-0.032667145163074021,0.0060809870007721986
3,15,-0.0,-0.031154126200198539
3,16,-0.016989248817779603,0.026546485639781642
3,17,0.025996405834795462,0.020835236302355183
3,18,-0.019027341217007065,0.028175065047643069
3,19,0.02157698966749827,-0.026145548480950329
3,20,0.033191035133235472,-0.0
3,21,-0.030132812292189028,-0.0096009586953481729
3,22,-0.014433566337828514,0.02980260759328086
3,23,-0.03084768192734344,-0.011899711704417707
3,24,0.020409438045787997,-0.016212619335754415,0.020705043909197859
3,25,0.026029670400903128,-0.010000401191914839,-0.016081372968075647
3,26,0.0016645092227473713,-0.029734688076953952,-0.0094370853394977489
3,27,-0.022923549446559423,-0.015225885675451797,0.020536284898747072
3,28,0.03022286664861807,0.015795595354430005,0.0
3,29,0.027066268294974896,-0.017638852486788609,0.0045414387329607737
3,30,-0.0094177524581965152,-0.026323704638104919,-0.01341519110396343
3,31,-0.029576744831816743,0.0021249957081078737,0.013593135376724925
4,4,-0.91099362404342021
4,6,-0.010472357701021062
4,7,-0.031127506521022415
4,8,0.0081453661265447428,-0.033844924912452584
4,9,0.030885368659653432,0.0058286400815846873
4,10,-0.028788355829269491,0.01534346794494231
4,11,-0.034478877043328957,0.0012102781960559347
4,12,-0.0,0.034143630642660849
4,13,0.024782271389319616,0.023337348255696652
4,14,0.026629129309419707,0.01804347977934594
4,15,-0.026227462211301979,-0.017308501327339642
4,17,0.031285371916250866,-0.010484509776369029
4,18,0.024011124388970361,0.021665476114348575
4,19,-0.0075030083959997324,0.033372881022841583
4,20,0.03045691876079637,0.0068824068304593304
4,21,-0.012959221463566066,0.031105795497132743
4,22,-0.033697140824229997,-0.0071514864620650168
4,23,-0.031978828571567447,-0.0027153091565848388
4,25,-0.017319766449323409,-0.015772122203423607,0.021636682093344545
4,26,0.0067446243156112293,0.022292192725838263,0.025735745430640507
4,27,-0.030419298071721241,0.0,0.013345644358811694
4,29,0.013405370147357636,-0.0060587620075050657,0.027631568930858802
4,30,-0.013904687948359695,0.027117392654766113,0.0053546486216473491
4,31,-0.017288008364517056,0.0,0.027511682119877565
5,5,0.30094092109037884
5,6,0.035220784194894252
5,7,0.033952682909585287
5,9,-0.024014362999650835,-0.018215217947150478
5,11,-0.0027113100323737163,0.032094724312867855
5,12,0.010195619650242538,0.029672887764718683
5,13,-0.027570311441825385,-0.018252811474475515
5,15,0.0,-0.033135020302793347
5,16,-0.023584446267260785,0.022240655437692197
5,17,0.0,0.031227610130982564
5,18,0.025166000041679779,0.025010196275573261
5,19,0.033038606112508029,0.0050826732962713089
5,21,-0.028087552816469279,-0.020604645961483186
5,23,0.0058597818481159946,-0.032038242911329423
5,24,0.0020007918658810379,0.0,0.034305515631429473
5,25,0.010477736909143056,0.018254204865887077,-0.025443631670715616
5,26,0.026723371865075271,0.013657255538558578,-0.018857613574367556
5,27,0.01855112717413834,-0.024175086492635021,-0.0099533008578271843
5,28,0.0026189621290737186,0.019310126463136432,-0.029559122467814742
5,29,0.0082853418711972878,-0.028119633881312854,-0.010942791879486212
5,30,0.020616595821608758,0.012919498121503144,-0.019848542803980816
5,31,0.013095393575500115,0.025891607164216453,-0.014426478716263604
6,6,-0.22285937284854485
6,7,0.032437775273177032
6,8,0.011032349450373959,0.032567217948495666
6,9,0.028517820884162177,0.011328305660239428
6,10,0.03069251292056447,0.014047327396182625
6,12,0.012866572155920191,0.030625386579668519
6,13,0.023624188661497122,-0.022342553767583442
6,14,0.033832911249116061,-0.0
6,15,0.014961728895951281,0.026386584479567078
6,16,0.018477089945430739,-0.027022301193448933
6,17,-0.02196470837284906,0.022599898805552156
6,19,-0.00053186791918219411,-0.032966986836113724
6,20,-0.02432310510410244,0.022335262025635523
6,22,-0.032243418125839703,0.0010361115161056699
6,23,-0.03239301121388348,-0.0
6,24,-0.024663073588417111,-0.0077219093570509,-0.020268156784141379
6,25,0.025569511784636303,0.0065320375058022326,0.019316358081220439
6,26,0.018660643452554332,-0.0077177690213011459,-0.029265622976651428
6,27,0.017815639867029342,0.022037828584318325,-0.016743534173094689
6,28,0.024980600774174869,-0.024449979505539132,-0.0060567263849124649
6,29,0.031215042456246941,-0.0,-0.0
6,30,0.022142223784398937,0.021955300161138388,-0.0075657307240656231
6,31,0.013828536662558498,-0.021525141990411858,0.020447914229668088
7,7,-0.52291829309241877
7,8,-0.021974684743612489,-0.026232641304104878
7,9,0.031375097592337309,-0.0
7,10,-0.0,-0.032579010674369663
7,11,0.031789055512725171,0.0
7,12,0.0,-0.03144483139092788
7,13,0.0,-0.033068473540900548
7,14,0.023579456763546565,-0.02396290225108292
7,15,-0.01350207469922758,0.028653704630190621
7,16,-0.031251279872914955,0.0030153902816217604
7,17,0.0,-0.031086789636093508
7,19,-0.032995989247825042,-0.0
7,20,0.030772018459788879,0.0075767929015663638
7,21,0.032807292268238503,-0.010318613222979727
7,22,0.021231889740358018,0.025088781589316191
7,23,0.0069386146277601044,-0.029361100742530816
7,24,-0.025522473849743606,-0.019618791118743581,0.0
7,25,0.0088081865707881294,0.019743138068762073,0.023591445764583489
